Comments,Epigenome ID (EID),ORDER,GROUP,COLOR,Epigenome Mnemonic,Under Seq,Quality Rating,Auto Use Train (Core),Manual Use Train (Core),Has K27ac,Train Core + K27ac,Core + Ac + DNase + 9 Class1 Marks,Core + Ac + DNase + 13 Class1 Marks,Standardized Epigenome name,Epigenome name (from EDACC Release 9 directory),ANATOMY,TYPE,"LAB
(Based on 5 core histone marks only)","AGE
(Post Birth in YEARS/ Fetal in GESTATIONAL WEEKS/CELL LINE CL) ","SEX
(Male, Female, Mixed, Unknown)",SOLID / LIQUID,ETHNICITY,Single Donor (SD) /Composite (C),DONOR / SAMPLE ALIAS,CLASS,,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 30M,Nreads (36bp) 50M,,NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),NSC (Signal to noise),,RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),RSC (Phantom Peak),,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames,Pool Filenames
,E024,9,ESC,#924965,ESC.4STAR,1,1,1,0,0,0,0,0,ES-UCSF4  Cells,4star,ESC,PrimaryCulture,UCSF-UBC,CL,Female,NA,NA,SD,UCSF-4*_Cell_Line_hESC,Class 2,,UCSF-UBC.UCSF-4Star.Input.A19302.filt.*,UCSF-UBC.UCSF-4Star.H3K9me3.A19298.filt.*,UCSF-UBC.UCSF-4Star.H3K27me3.A19299.filt.*,UCSF-UBC.UCSF-4Star.H3K4me3.A19297.filt.*,UCSF-UBC.UCSF-4Star.H3K4me1.A19296.filt.*,UCSF-UBC.UCSF-4Star.H3K36me3.A19300.filt.*,,,,E024,E024,,,,30000000,23716344,28279639,30000000,30000000,30000000,,,,,1.104143,1.134668,1.12512,1.331572,1.102216,1.085302,,,,,8.825757,1.606331,2.358132,1.437532,2.283974,1.817041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E020,10,iPSC,#69608A,IPSC.20B,1,0,1,1,1,0,0,0,iPS-20b Cells,iPS-20b_Cell_Line,IPSC,PrimaryCulture,BI,CL,Male,NA,NA,SD,66;67;BioSam_174,Class 4,,BI.iPS-20b.Input.DNA_Lib_350.filt.*;BI.iPS-20b.Input.DNA_Lib_440.filt.*;BI.iPS-20b.Input.Solexa-10232.filt.*;BI.iPS-20b.Input.Lib_MC_20100119_07--ChIP_MC_20100113_07_hiPS-20b_WCE.filt.*,BI.iPS-20b.H3K9me3.Solexa-20765.filt.*;BI.iPS-20b.H3K9me3.DNA_Lib_351.filt.*,BI.iPS-20b.H3K27me3.DNA_Lib_356.filt.*;BI.iPS-20b.H3K27me3.Lib_MC_20100119_06--ChIP_MC_20100113_06_hiPS-20b_H3K27Me3.filt.*;BI.iPS-20b.H3K27me3.Solexa-15159.filt.*,BI.iPS-20b.H3K4me3.DNA_Lib_353.filt.*;BI.iPS-20b.H3K4me3.Lib_MC_20100119_05--ChIP_MC_20100113_05_hiPS-20b_H3K4Me3.filt.*,BI.iPS-20b.H3K4me1.DNA_Lib_354.filt.*;BI.iPS-20b.H3K4me1.Lib_MC_20100211_03--ChIP_MC_20100208_03_hiPS-20b_H3K4Me1.filt.*,BI.iPS-20b.H3K36me3.DNA_Lib_355.filt.*;BI.iPS-20b.H3K36me3.Solexa-20763.filt.*,BI.iPS-20b.H3K27ac.DNA_Lib_357.filt.*,BI.iPS-20b.H3K9ac.DNA_Lib_352.filt.*;BI.iPS-20b.H3K9ac.Solexa-20764.filt.*,,,,E020,,,30000000,28347951,30000000,30000000,30000000,30000000,22466820,30000000,,,1.008708,1.049208,1.108528,1.404518,1.053836,1.034793,1.034491,1.130615,,,0.3610403,0.2286821,1.039805,1.258992,1.120416,0.6946507,1.076221,1.490698,,,,,,,,,,,,,,,,,,,,,,,,,,
,E019,11,iPSC,#69608A,IPSC.18,1,0,1,1,1,0,0,0,iPS-18 Cells,iPS-18_Cell_Line,IPSC,PrimaryCulture,BI,CL,Female,NA,NA,SD,39791;46575;46576;46578;46579;46580;BioSam_173,Class 4,,BI.iPS-18b.Input.Lib_MC_20090720_02--ChIP_MC_20090715_02_hiPS-18b_WCE.filt.*;BI.iPS-18c.Input.Lib_MC_20100108_07--ChIP_MC_20100105_07_hiPS-18c_WCE.filt.*;BI.iPS-18a.Input.DNA_Lib_342.filt.*,BI.iPS-18c.H3K9me3.Solexa-19774.filt.*;BI.iPS-18a.H3K9me3.DNA_Lib_343.filt.*,BI.iPS-18a.H3K27me3.DNA_Lib_348.filt.*;BI.iPS-18c.H3K27me3.Solexa-19791.filt.*,BI.iPS-18a.H3K4me3.DNA_Lib_345.filt.*;BI.iPS-18c.H3K4me3.Solexa-15173.filt.*;BI.iPS-18c.H3K4me3.Solexa-19747.filt.*,BI.iPS-18a.H3K4me1.DNA_Lib_346.filt.*,BI.iPS-18a.H3K36me3.DNA_Lib_347.filt.*;BI.iPS-18c.H3K36me3.Solexa-19808.filt.*,BI.iPS-18a.H3K27ac.DNA_Lib_349.filt.*,BI.iPS-18a.H3K9ac.DNA_Lib_344.filt.*;BI.iPS-18c.H3K9ac.Solexa-19756.filt.*,,,,E019,,,30000000,27465155,30000000,30000000,30000000,30000000,30000000,27443132,,,1.009847,1.032982,1.124202,1.382586,1.070087,1.027561,1.028306,1.178299,,,0.3384143,0.2148157,1.077363,1.233747,1.190705,0.672645,1.190423,1.534179,,,,,,,,,,,,,,,,,,,,,,,,,,
,E018,12,iPSC,#69608A,IPSC.15b,-1,1,0,0,0,0,0,0,iPS-15b Cells,iPS-15b_Cell_Line,IPSC,PrimaryCulture,BI,CL,Female,NA,NA,SD,62,Class 5,,BI.iPS-15b.Input.Solexa-15157.filt.*;BI.iPS-15b.Input.Lib_MC_20100128_06--ChIP_MC_20100125_06_hiPS-15b_WCE.filt.*,BI.iPS-15b.H3K9me3.Solexa-20732.filt.*,BI.iPS-15b.H3K27me3.Lib_MC_20100128_05--ChIP_MC_20100125_05_hiPS-15b_H3K27Me3.filt.*,BI.iPS-15b.H3K4me3.Solexa-20743.filt.*,BI.iPS-15b.H3K4me1.Lib_MC_20100211_04--ChIP_MC_20100208_04_hiPS-15b_H3K4Me1.filt.*,BI.iPS-15b.H3K36me3.Solexa-20749.filt.*,,BI.iPS-15b.H3K9ac.Solexa-20747.filt.*,,,,E018,,,30000000,15444243,25989220,21079889,28103845,13388393,,19039321,,,1.012633,1.062076,1.121047,1.427496,1.085542,1.040024,,1.098859,,,0.3854824,0.3995239,1.172775,1.260064,1.387922,0.5393245,,1.849376,,,,,,,,,,,,,,,,,,,,,,,,,,
,E021,13,iPSC,#69608A,IPSC.DF.6.9,1,1,1,1,1,0,0,0,iPS DF 6.9 Cells,iPS_DF_6.9_Cell_Line,IPSC,PrimaryCulture,UCSD,CL,Male,NA,NA,SD,iPS-6.9-01;iPS-6.9-02,Class 2,,UCSD.iPS_DF_6.9.Input.SK445.filt.*;UCSD.iPS_DF_6.9.Input.SKiPS6.9-1.filt.*,UCSD.iPS_DF_6.9.H3K9me3.SK503.filt.*;UCSD.iPS_DF_6.9.H3K9me3.SK274.filt.*,UCSD.iPS_DF_6.9.H3K27me3.SK433.filt.*;UCSD.iPS_DF_6.9.H3K27me3.SK275.filt.*,UCSD.iPS_DF_6.9.H3K4me3.SK398.filt.*;UCSD.iPS_DF_6.9.H3K4me3.SK471.filt.*,UCSD.iPS_DF_6.9.H3K4me1.SK469.filt.*;UCSD.iPS_DF_6.9.H3K4me1.SK397.filt.*,UCSD.iPS_DF_6.9.H3K36me3.SK468.filt.*;UCSD.iPS_DF_6.9.H3K36me3.SK400.filt.*,UCSD.iPS_DF_6.9.H3K27ac.SK432.filt.*,,UW.iPS_DF_6.9.ChromatinAccessibility.DS15164.filt.*,,E021,,,,30000000,30000000,30000000,30000000,30000000,30000000,27113934,,26681306,,1.033536,1.032865,1.049181,1.593082,1.063981,1.042467,1.055263,,1.310136,,0.6817973,0.7376668,0.9833084,1.15155,1.204754,0.8980237,1.154024,,1.01023,,,,,,,,,,,,,,,,,,,,,,,,,
,E022,14,iPSC,#69608A,IPSC.DF.19.11,0,1,1,0,1,0,0,0,iPS DF 19.11 Cells,iPS_DF_19.11_Cell_Line,IPSC,PrimaryCulture,UCSD,CL,Male,NA,NA,SD,iPS-19.11-01;iPS-19.11-02,Class 2,,UCSD.iPS_DF_19.11.Input.SK446.filt.*;UCSD.iPS_DF_19.11.Input.SKiPS19.11-1.filt.*,UCSD.iPS_DF_19.11.H3K9me3.SK474.filt.*;UCSD.iPS_DF_19.11.H3K9me3.SK232.filt.*,UCSD.iPS_DF_19.11.H3K27me3.SK230.filt.*;UCSD.iPS_DF_19.11.H3K27me3.SK435.filt.*,UCSD.iPS_DF_19.11.H3K4me3.SK475.filt.*;UCSD.iPS_DF_19.11.H3K4me3.SK227.filt.*,UCSD.iPS_DF_19.11.H3K4me1.SK401.filt.*;UCSD.iPS_DF_19.11.H3K4me1.SK473.filt.*,UCSD.iPS_DF_19.11.H3K36me3.SK472.filt.*,UCSD.iPS_DF_19.11.H3K27ac.SK402.filt.*;UCSD.iPS_DF_19.11.H3K27ac.SK434.filt.*;UCSD.iPS_DF_19.11.H3K27ac.SK395.filt.*,,UW.iPS_DF_19.11.ChromatinAccessibility.DS15153.filt.*,,E022,,,,25608432,30000000,30000000,30000000,30000000,17605510,30000000,,26661713,,1.053973,1.056057,1.038221,1.939102,1.07932,1.066955,1.074741,,1.446759,,1.394931,0.6162939,1.135747,1.160417,1.250032,0.9476187,1.256603,,1.007757,,,,,,,,,,,,,,,,,,,,,,,,,
,E007,15,ES-deriv,#4178AE,ESDR.H1.NEUR.PROG,1,0,1,0,1,0,1,0,H1 Derived Neuronal Progenitor Cultured Cells,H1_Derived_Neuronal_Progenitor_Cultured_Cells,ESC_DERIVED,ESCDerived,UCSD,CL,Male,NA,NA,SD,NPC-03;NPC-04;NPC-05;NPC-06,Class 1,,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.AK222.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.SK459.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.SK506.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.Input.AK407.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.AK244.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.AK200.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.CY27.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.AK221.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.AK409.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.AK320.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.AK199.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.CY26.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.LH12.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.AK243.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.AK198.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.AK242.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.CY25.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.AK202.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.CY23.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.AK241.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.AK220.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.SK504.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.AK319.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.SK451.filt.*;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27ac.AK408.filt.*,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9ac.AK263.filt.*,UW.H1_Derived_Neuronal_Progenitor_Cultured_Cells.ChromatinAccessibility.DS20153.filt.*;UW.H1_Derived_Neuronal_Progenitor_Cultured_Cells.ChromatinAccessibility.DS18739.filt.*,E007,E007,,,,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,50000000,,1.019444,1.050861,1.025792,1.306518,1.063165,1.04233,1.070075,1.236056,1.273298,,0.5124675,0.5054628,0.5160246,1.198543,0.9736956,0.7248916,0.9281059,1.162603,1.01436,,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me2.AK260.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.AK420.bed.gz;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2AK5ac.CY7.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.AK421.bed.gz;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK120ac.CY8.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK5ac.CY10.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K18ac.AK254.bed.gz;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K18ac.CY11.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K23ac.AK255.bed.gz;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K23ac.CY12.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4ac.AK386.bed.gz;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4ac.AK259.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K79me1.AK261.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H4K8ac.AK265.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK12ac.AK249.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H3K14ac.AK253.bed.gz,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H4K91ac.AK266.bed.gz,,UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK15ac.AK422.bed.gz;UCSD.H1_Derived_Neuronal_Progenitor_Cultured_Cells.H2BK15ac.CY9.bed.gz,,,,,,,,,,
,E009,16,ES-deriv,#4178AE,ESDR.H9.NEUR.PROG,1,1,1,1,0,0,0,0,H9 Derived Neuronal Progenitor Cultured Cells,H9_Derived_Neuronal_Progenitor_Cultured_Cells,ESC_DERIVED,ESCDerived,BI,CL,Female,NA,NA,SD,113,Class 5,,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.Input.113.filt.*,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H3K9me3.113.filt.*,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H3K27me3.113.filt.*,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.113.filt.*,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me1.113.filt.*,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H3K36me3.113.filt.*,,,,,,E009,,,30000000,30000000,30000000,30000000,28071907,30000000,,,,,1.010948,1.030985,1.031866,1.753662,1.087162,1.040981,,,,,0.6859641,0.8080745,1.211686,1.076783,1.039184,0.8167426,,,,,,,,,,,,,,,,,BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H2A.Z.DNA_Lib_295.bed.gz,,,,,,,,,,,
,E010,17,ES-deriv,#4178AE,ESDR.H9.NEUR,1,1,1,1,0,0,0,0,H9 Derived Neuron Cultured Cells,H9_Derived_Neuron_Cultured_Cells,ESC_DERIVED,ESCDerived,BI,CL,Female,NA,NA,SD,113,Class 5,,BI.H9_Derived_Neuron_Cultured_Cells.Input.113.filt.*,BI.H9_Derived_Neuron_Cultured_Cells.H3K9me3.113.filt.*,BI.H9_Derived_Neuron_Cultured_Cells.H3K27me3.113.filt.*,BI.H9_Derived_Neuron_Cultured_Cells.H3K4me3.113.filt.*,BI.H9_Derived_Neuron_Cultured_Cells.H3K4me1.113.filt.*,BI.H9_Derived_Neuron_Cultured_Cells.H3K36me3.113.filt.*,,,,,,E010,,,30000000,30000000,29590040,30000000,30000000,30000000,,,,,1.018273,1.032027,1.031621,1.709011,1.142163,1.042142,,,,,0.81757,0.8134967,0.8615358,1.113952,1.096145,0.8739415,,,,,,,,,,,,,,,,,BI.H9_Derived_Neuron_Cultured_Cells.H2A.Z.DNA_Lib_294.bed.gz,,,,,,,,,,,
,E013,18,ES-deriv,#4178AE,ESDR.CD56.MESO,-1,-1,0,0,1,0,0,0,hESC Derived CD56+ Mesoderm Cultured Cells,hESC_Derived_CD56+_Mesoderm_Cultured_Cells,ESC_DERIVED,ESCDerived,BI,CL,Male,NA,NA,SD,BioSam_1249;BioSam_1250;BioSam_575;BioSam_577,Class 2,,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.Input.DNA_Lib_1317.filt.*;BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.Input.DNA_Lib_1318.filt.*,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K9me3.DNA_Lib_3197.filt.*;BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K9me3.DNA_Lib_1276.filt.*;BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K9me3.DNA_Lib_1282.filt.*,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K27me3.DNA_Lib_1274.filt.*,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K4me3.DNA_Lib_1273.filt.*;BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K4me3.DNA_Lib_1279.filt.*,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K4me1.DNA_Lib_1272.filt.*,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K36me3.DNA_Lib_1277.filt.*;BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K36me3.DNA_Lib_1283.filt.*,BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K27ac.DNA_Lib_3198.filt.*;BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K27ac.DNA_Lib_3195.filt.*,,,E013,E013,,,,30000000,30000000,4322464,10585491,11179426,21204689,30000000,,,,1.015228,1.037625,1.092709,2.422056,1.110664,1.040528,1.285047,,,,0.3553006,0.2609434,0.6461858,1.312024,1.298653,0.7912681,1.462301,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E012,19,ES-deriv,#4178AE,ESDR.CD56.ECTO,-1,0,0,0,1,0,0,0,hESC Derived CD56+ Ectoderm Cultured Cells,hESC_Derived_CD56+_Ectoderm_Cultured_Cells,ESC_DERIVED,ESCDerived,BI,CL,Male,NA,NA,SD,BioSam_1247;BioSam_1248;BioSam_707,Class 2,,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.Input.DNA_Lib_1812.filt.*;BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.Input.DNA_Lib_2066.filt.*,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K9me3.DNA_Lib_1811.filt.*;BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K9me3.DNA_Lib_3192.filt.*,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K27me3.DNA_Lib_3193.filt.*;BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K27me3.DNA_Lib_1807.filt.*,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K4me3.DNA_Lib_1810.filt.*;BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K4me3.DNA_Lib_2073.filt.*,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K4me1.DNA_Lib_1809.filt.*,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K36me3.DNA_Lib_1808.filt.*,BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K27ac.DNA_Lib_3191.filt.*;BI.hESC_Derived_CD56+_Ectoderm_Cultured_Cells.H3K27ac.DNA_Lib_3194.filt.*,,,E012,E012,,,,30000000,18478765,18532506,17283261,13876103,14361584,17645625,,,,1.007572,1.044287,1.120547,1.882602,1.077848,1.026098,1.184011,,,,0.4086898,0.2113077,0.9945718,1.183628,1.001387,0.3365589,1.487385,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E011,20,ES-deriv,#4178AE,ESDR.CD184.ENDO,1,0,1,1,1,1,0,0,hESC Derived CD184+ Endoderm Cultured Cells,hESC_Derived_CD184+_Endoderm_Cultured_Cells,ESC_DERIVED,ESCDerived,BI,CL,Male,NA,NA,SD,262;263,Class 2,,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.Input.DNA_Lib_244.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.Input.DNA_Lib_264.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K9me3.DNA_Lib_242.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K9me3.DNA_Lib_248.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K27me3.DNA_Lib_239.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K27me3.DNA_Lib_246.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K4me3.DNA_Lib_241.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K4me3.DNA_Lib_247.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K4me1.DNA_Lib_3190.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K4me1.DNA_Lib_249.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K4me1.DNA_Lib_2067.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K36me3.DNA_Lib_263.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K36me3.DNA_Lib_842.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K27ac.DNA_Lib_3188.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K27ac.DNA_Lib_3189.filt.*,BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K9ac.DNA_Lib_238.filt.*;BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K9ac.DNA_Lib_245.filt.*,,E011,E011,E011,,,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,,,1.011677,1.043137,1.054631,1.189275,1.049217,1.027458,1.150636,1.117477,,,0.4288087,0.311873,0.9631636,1.02201,1.06273,0.6100472,1.477288,1.309177,,,,,,,,,,,,,,,,,,,,,,,,,,
